codigo_municipio,codigo_uf_ibge,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,populacao_total,populacao_crescimento_pct,ano_referencia_idhm,idhm,idhm_renda,idhm_educacao,idhm_longevidade,ideb,fluxo,aprendizado,nota_mt,nota_lp,crimes_total_indicadores,mortes_violentas_intencionais,homicidios_dolosos,feminicidios,estupros,furto_veiculos,taxa_crimes_100k,taxa_mortes_violentas_100k,taxa_homicidios_100k,taxa_feminicidios_100k,taxa_estupros_100k,taxa_furto_veiculos_100k,lag_1_taxa_crimes_100k,lag_1_taxa_mortes_violentas_100k,variacao_taxa_crimes_100k_pct,risco_indice
2408102,24,RN,Natal,natal,2017,871041,0.749280272230024,2010,0.763,0.768,0.694,0.835,3.2,0.7935,4.0701,255.01,253.77,5287.0,586,443,0.0,72.0,722.0,606.9748725949754,67.27582283727172,50.85868518244262,0.0,8.265971406627243,82.88932438312318,515.5205577846842,65.00393840587672,17.740187744072202,0.385395116122485
2408102,24,RN,Natal,natal,2018,877640,0.7575992404490695,2010,0.763,0.768,0.694,0.835,,,,,,4674.0,446,330,6.0,114.0,594.0,532.5646050772526,50.81810309466296,37.600838612642995,0.6836516111389637,12.989380611640307,67.6815095027574,606.9748725949754,67.27582283727172,-12.259200648553959,0.37535555170778073
2408102,24,RN,Natal,natal,2019,884122,0.7385716239004525,2010,0.763,0.768,0.694,0.835,3.5,0.8127,4.351,262.55,265.46,3630.0,220,178,3.0,171.0,481.0,410.57682084599185,24.883443687635868,20.132968074541747,0.33931968664958007,19.341222139026062,54.40425642614933,532.5646050772526,50.81810309466296,-22.90572506476759,0.20874334550596532
2408102,24,RN,Natal,natal,2020,890480,0.7191315225726802,2010,0.763,0.768,0.694,0.835,,,,,,3327.0,245,223,2.0,195.0,316.0,373.6187224867487,27.513251280208426,25.042673614230527,0.2245979696343545,21.898302039349563,35.48647920222801,410.57682084599185,24.883443687635868,-9.00150629134181,0.22959542757351065
2408102,24,RN,Natal,natal,2021,896708,0.6993980774413711,2010,0.763,0.768,0.694,0.835,3.4,0.7835,4.2986,258.76,265.52,2729.0,215,194,5.0,159.0,428.0,304.33541353484077,23.976589926709696,21.634690445496194,0.5575951145746442,17.731524643473684,47.73014180758954,373.6187224867487,27.513251280208426,-18.543853608504655,0.23020714379454324
2507507,25,PB,Joao Pessoa,joao pessoa,2016,783132,,2010,0.763,0.77,0.693,0.832,,,,,,451.0,350,341,0.0,92.0,0.0,57.58926975273645,44.69233794558261,43.54310639841049,0.0,11.747700259981714,0.0,,,,0.294473748866152
2507507,25,PB,Joao Pessoa,joao pessoa,2017,791461,1.0635499507107404,2010,0.763,0.77,0.693,0.832,3.5,0.8152,4.2387,261.27,259.16,340.0,298,287,0.0,31.0,0.0,42.95852859458647,37.6518868270199,36.26205207837152,0.0,3.916807018918178,0.0,57.58926975273645,44.69233794558261,-25.405325021428627,0.221253330223871
2507507,25,PB,Joao Pessoa,joao pessoa,2018,800323,1.119701412956542,2010,0.763,0.77,0.693,0.832,,,,,,1767.0,258,238,5.0,35.0,436.0,220.78585770994962,32.23698431758178,29.737993285211093,0.6247477580926701,4.3732343066486905,54.478004505680836,42.95852859458647,37.6518868270199,413.9511639087483,0.2518821129677819
2507507,25,PB,Joao Pessoa,joao pessoa,2019,809015,1.0860615026683007,2010,0.763,0.77,0.693,0.832,4.0,0.8642,4.6828,274.75,276.18,1687.0,192,184,5.0,27.0,485.0,208.5251818569495,23.732563673108658,22.743706853395796,0.6180355123205379,3.337391766530905,59.94944469509218,220.78585770994962,32.23698431758178,-5.553198008319537,0.1950860466320432
2507507,25,PB,Joao Pessoa,joao pessoa,2020,817511,1.050165942535064,2010,0.763,0.77,0.693,0.832,,,,,,1776.0,240,238,6.0,97.0,353.0,217.24478325062293,29.357403141976075,29.112758115792936,0.7339350785494018,11.865283769881996,43.179847121323135,208.5251818569495,23.732563673108658,4.18155798547879,0.27551897709445083
2507507,25,PB,Joao Pessoa,joao pessoa,2021,825796,1.0134420209636286,2010,0.763,0.77,0.693,0.832,4.1,0.9451,4.3761,261.96,267.69,2035.0,232,228,3.0,105.0,465.0,246.42890011576708,28.09410556602357,27.60972443557489,0.3632858478365117,12.715004674277909,56.309306414659304,217.24478325062293,29.357403141976075,13.433748064493734,0.22725455947858164
2611606,26,PE,Recife,recife,2016,1622335,,2010,0.772,0.798,0.698,0.825,,,,,,6083.0,640,624,0.0,446.0,1520.0,374.95338509000914,39.4493122567164,38.46307945029849,0.0,27.49123947889924,93.69211660970144,,,,0.3083370991364975
2611606,26,PE,Recife,recife,2017,1629796,0.4598926855427621,2010,0.772,0.798,0.698,0.825,4.1,0.9087,4.5335,271.39,269.36,6734.0,790,772,0.0,432.0,1692.0,413.1805452952394,48.472324143635156,47.367891441628274,0.0,26.506384848165045,103.81667398864643,374.95338509000914,39.4493122567164,10.195176714047726,0.3663805254339423
2611606,26,PE,Recife,recife,2018,1637834,0.4931905588184015,2010,0.772,0.798,0.698,0.825,,,,,,5714.0,613,594,6.0,465.0,1307.0,348.87540495556937,37.42748044063074,36.26741171571722,0.36633749207795174,28.39115563604126,79.80051702431382,413.1805452952394,48.472324143635156,-15.563448248445633,0.33775937625731794
